ID,Ionic conductivity (S cm-1)
00x,1e-15
019,0.000161
09w,0.000437
0fh,4.83e-05
0ii,3.99e-06
0iv,2.38e-07
0o6,9.98e-05
10s,0.00234
11b,0.000703
122,0.00205
13q,0.00398
1dm,0.000284
1e9,1e-09
1kq,0.00301
1m8,0.00258
1ty,8.5e-06
1xf,0.000336
1xt,1e-15
20k,3.69e-06
240,8.6e-05
24k,0.00011
2d1,9.18e-05
2r7,3.19e-09
2t8,8.1e-07
2uv,2e-05
2wb,0.00047
3nb,1.8e-10
3rh,0.00027
3rx,1e-15
3uq,8.24e-05
3zo,0.00108
419,7.11e-06
472,1.7e-10
47i,1e-15
4ba,3.33e-07
4ea,3.15e-06
4ie,0.00128
4kt,1e-15
4p7,0.025
4xq,5.91e-06
5bz,8.7e-08
5tl,0.000442
5wz,1.26e-06
5z0,5e-10
5zv,5.55e-18
68u,8e-06
6du,1.73e-08
6jf,0.00115
6l9,2e-06
72f,0.00021
7cr,4.4e-18
7e5,1.8e-07
7ek,3.8e-05
7o7,2.95e-05
7tu,0.00782
7w5,0.00087
824,0.0144
883,8.7e-09
8fn,0.000137
8ub,0.00879
95j,1.4e-07
96f,0.00278
97b,1e-15
97p,3.3e-05
9ky,9.42e-06
9lo,1.75e-13
9lx,0.007
9n0,1.11e-05
9o6,0.000333
9ph,0.000108
9rc,0.0141
9s4,0.000722
9wf,0.00065
9yt,0.00186
9zk,5e-09
9zr,0.000701
a8v,0.000878
aab,8.3e-07
an2,1e-10
ar1,7.5e-05
ard,0.0016
aui,1e-15
b4c,1.59e-08
b56,1e-15
be9,7e-06
bi3,6.3e-06
bjw,4.79e-06
bnh,0.000799
bnu,1e-15
bq9,2.4e-10
br1,5e-08
bsa,2.4e-14
bv2,1.8e-08
c0g,5.17e-06
c6e,0.00348
cdk,1e-15
cfy,7.8e-11
cju,0.00364
ckw,1e-15
clt,1e-13
cti,6.74e-05
cy2,0.000335
cz2,9.5e-07
d7f,4.1e-10
d9l,0.00268
dae,1.4e-05
dc8,1e-15
de5,0.00204
deu,4.3e-05
dl7,1e-15
dlj,0.00361
dmq,1.31e-08
dth,1.3e-12
duf,0.00077
dvb,6.39e-05
dvn,6.24e-07
e6a,0.00069
e6b,2e-07
e81,1e-15
ecp,1e-15
ei3,0.000539
ek5,1e-15
elz,0.00192
etz,1.97e-06
fam,1.18e-05
fft,0.0002085
fj5,4.49e-07
fkj,0.00219
fwz,2e-06
g5q,0.00028
ga9,0.000103
gas,0.00026
gcj,1.33e-06
gdr,0.00032
gkl,5.08e-06
goi,0.00016
gvd,0.0005767
gw2,0.000188
gwu,1.04e-07
gxz,1e-15
gz8,1.59e-05
h5i,1.21e-05
h6c,9.2e-14
h7r,2.28e-05
h82,4.72e-06
h89,1.5e-05
hai,1e-15
hbz,0.00392
hcm,3.4e-05
hja,1e-09
hta,0.000957
hud,1.3e-05
hx7,1.2e-06
i12,1e-15
i47,5.4e-08
i4l,1.5e-05
ia5,1e-15
iiy,0.00169
ij5,0.00333
ik8,0.00743
ipo,9.85e-07
iqt,0.000388
ish,0.000931
ix1,3.2e-07
j5g,0.000188
j8q,0.0121
jej,2.2e-06
jkq,1.53e-11
jl4,6.56e-10
joc,2.6e-07
jqc,1.58489e-06
jy6,1e-09
k4x,0.0065
ka6,6.61e-06
kab,3.75e-05
kbo,1e-15
kbq,1.9e-05
kbu,2.15e-05
kfp,1.59881e-17
kgl,0.00226
kh3,0.00092
kji,0.001
kkn,1e-08
kko,0.0038
klr,3.6e-05
kmv,7e-05
kop,0.0064
ku9,9.92e-06
kxw,1e-15
l2w,8.2e-08
l6h,0.000614
l9r,2.2e-06
l9v,5e-07
lap,0.00113
ldx,4.83e-09
lk8,0.00151
lkm,8.5e-07
lol,0.00012
lpt,8.7e-09
lpx,7.1e-05
lrh,1.9e-07
lud,0.000568
lxk,0.00554
m0v,6.03e-08
mde,1e-15
mdp,0.0032
me3,6.29e-10
mfs,1e-15
mfu,5.89e-10
mg4,0.0062
mn3,4.5e-08
mq1,4.8e-09
mtn,0.0246
mtr,0.000935
my9,0.000595
n27,1e-08
na5,3.8e-07
ner,1.69e-05
nhq,8.93e-07
nig,0.00277
nip,0.0055
nua,1e-15
o0a,6e-06
o5q,0.00028
o9h,1.23e-05
ob9,4e-06
oi6,6.7e-08
opo,0.00012
ozo,1.18e-05
p81,1e-06
p9u,0.00022
pa1,0.00521
pbz,5.66e-06
pe2,1.05e-09
pg8,0.000174
pql,4.5e-05
pwr,1.64e-07
qa9,1.6e-10
qbb,1.1e-06
qer,1.8e-06
qno,3.83e-07
qy4,8.8e-06
r99,1.2e-05
ro9,9.6e-12
rr5,7.2e-05
rty,0.0048
rwr,1.8e-05
s2v,0.00138
s3h,0.000925
sg0,1e-15
sib,6.8e-06
skm,3.9e-09
sqm,7.1e-06
t0h,6.1e-10
t2c,0.00382
t3k,2.37e-07
tbj,3.33e-06
tbu,1e-15
tjh,0.000264
tka,6.17e-08
tvf,1e-05
tws,5.2e-10
u0c,4.24e-09
u2y,0.000853
u8r,1e-15
uaz,1.6e-06
ueu,0.000903
uex,1e-15
ui6,0.011
um1,1e-15
uox,5.65e-12
ur9,1e-09
usu,4.3e-06
uu4,2.05e-09
uut,0.00362
uw9,2e-05
uwh,0.000103
ux3,1e-15
uxi,9.9e-08
uxo,1.4e-13
vg0,0.00019
vj7,0.00141
vlm,0.000161
vqj,0.000112
vqu,1.3e-07
vwy,0.000668
vy5,1.36e-08
w7d,4.2e-18
w87,3.2e-05
wa3,0.000254
wgw,1e-15
wsd,0.00165
wyu,1.63e-06
x2i,3.8e-08
x2v,0.000873
x9d,0.000902
xa0,0.000248
xas,1.5e-05
xk3,5e-06
xog,7.8e-06
xq3,1e-15
xub,1.51e-09
xut,1e-15
xz4,1.3e-08
y2l,1.4e-09
yab,1e-15
yav,6.95e-06
ym6,0.00121
ymc,2.62e-05
yq2,3e-05
yqu,0.00482
ysm,1e-15
ywe,1.3e-06
z16,0.0032
z2s,3.9e-05
z7n,9.2e-08
z9y,0.00338
zs0,7.27e-10
zv5,2.8e-05
zxr,5.4e-06
zzr,0.0076
